device,subject,run,EXTRA_VOLTAGE,BATTERY_PROPERTY_CURRENT_NOW,Timestamp,Energy trapz (J),Energy simple (J),Avg power (W)
pixel5g-wifid,com-android-chrome,0,4259.0,-102804.9035159444,68.41681520850368,59.35887268137649,60.04489843171199,0.4378460840744073
pixel5g-wifid,com-android-chrome,1,4259.0,-90880.31043046358,67.77955215231788,51.963998603121006,52.60831807092073,0.3870592421233444
pixel5g-wifid,com-android-chrome,2,4259.0,-115299.62214983713,68.57841205211727,66.669378644284,67.51058769331605,0.4910610907361564
pixel5g-wifid,com-android-chrome,3,4259.0,-103775.28466557912,68.64425693311583,60.102233343267,60.776965659532756,0.44197893739070154
pixel5g-wifid,com-android-chrome,4,4259.0,-96099.15832649713,68.21967104183757,55.30804493517649,55.98177292213545,0.4092863153125513
pixel5g-wifid,com-android-chrome,5,4259.0,-91416.08326394671,67.47091090757702,52.083382474537984,52.6358018047904,0.38934109862114913
pixel5g-wifid,com-android-chrome,6,4259.0,-102404.64991762767,67.96137149917628,58.77254633038653,59.44083966823974,0.4361414039991763
pixel5g-wifid,com-android-chrome,7,4259.0,-93549.70802315963,67.76944499586436,53.64144352193299,54.16830681071545,0.3984282064706369
pixel5g-wifid,com-android-chrome,8,4259.0,-97551.30423940149,67.39168661679135,55.66202544241052,56.201593755301005,0.415471004755611
pixel5g-wifid,com-android-chrome,9,4259.0,-93339.24322103533,68.14039934264586,53.76734862934402,54.35532312005594,0.39753183687838944
pixel5g-wifid,com-android-chrome,10,4259.0,-98561.09202958093,68.17501972062449,56.782729686107494,57.39958102104795,0.41977169095398525
pixel5g-wifid,com-android-chrome,11,4259.0,-101781.88439306358,67.66832122213047,58.00494773143848,58.86954635274437,0.4334890456300578
pixel5g-wifid,com-android-chrome,12,4259.0,-104997.89621087315,67.80472652388796,60.00935515817701,60.86604471320266,0.44718603996210876
pixel5g-wifid,com-android-chrome,13,4259.0,-94422.93046357617,67.63904884105959,53.88528819293998,54.541222252017796,0.40214726084437086
pixel5g-wifid,com-android-chrome,14,4259.0,-97524.4683127572,68.04923950617284,56.01515282083652,56.66462387925915,0.41535671054403295
pixel5g-wifid,com-android-chrome,15,4259.0,-109791.42495921697,68.47356769983686,63.27281429148695,64.14513071000214,0.4676016789013051
pixel5g-wifid,com-android-chrome,16,4259.0,-100161.03770491804,68.2965344262295,57.68319263253851,58.432877874267824,0.426585859585246
pixel5g-wifid,com-android-chrome,17,4259.0,-95419.22395406071,68.16547169811321,54.831784988066,55.56170571743751,0.40639047482034457
pixel5g-wifid,com-android-chrome,18,4259.0,-104108.01482701812,67.9018385502471,59.680647239647456,60.3896531951241,0.44339603514827014
pixel5g-wifid,com-android-chrome,19,4259.0,-104697.50448247758,68.65140994295028,60.6743320895045,61.3465021574574,0.44590667159087205
pixel5g-wifid,com-android-chrome,20,4259.0,-98015.25349794238,68.00661810699589,56.2622146850765,56.92515533418861,0.4174469646477366
pixel5g-wifid,com-android-chrome,21,4259.0,-101089.63463131731,67.54257829328914,57.578488356508004,58.30038456640003,0.4305407538947805
pixel5g-wifid,com-android-chrome,22,4259.0,-100345.4776119403,67.58860862354892,57.25080434416853,57.92720019945731,0.4273713891492538
pixel5g-wifid,com-android-chrome,23,4259.0,-108260.82430213464,68.21293349753695,62.3082201131005,63.04109167948847,0.46108285070279154
pixel5g-wifid,com-android-chrome,24,4259.0,-93934.92358803986,67.53646096345516,53.57004222382651,54.17772232225272,0.40006883956146183
pixel5g-wifid,com-android-chrome,25,4259.0,-105422.089198036,68.32700245499183,60.82479644996901,61.542079380956565,0.4489926778944353
pixel5g-wifid,com-android-chrome,26,4259.0,-105260.50613246116,68.50320196238756,60.777682548687,61.54144794047746,0.44830449561815217
pixel5g-wifid,com-android-chrome,27,4259.0,-96748.0997526793,67.8904641384996,55.44256532453602,56.08126249730113,0.4120501568466612
pixel5g-wifid,com-android-chrome,28,4259.0,-103302.71405094495,68.14882004930156,59.41438139108352,60.113909885482045,0.43996625914297455
pixel5g-wifid,com-android-chrome,29,4259.0,-99940.24402308326,67.89188293487223,57.36128088123001,57.95589118391347,0.42564549929431167
